trial_id,value,state,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,a_fold1_test_calmar,a_fold1_test_return,a_fold1_test_trades,a_fold1_test_mdd,a_fold1_test_win_rate,a_fold1_overfit,a_fold1_monthly_trades,a_fold1_gates_passed,a_fold1_all_pass,a_fold2_test_calmar,a_fold2_test_return,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid
0,80.48413986397141,TrialState.COMPLETE,210,0.6000000000000001,1450,142.75668419861722,0.2056396140244099,62,-0.013438721078927166,0.5645161290322581,,31.0,5,True,-4.6363784485855115,-0.09427517918069794,18,0.2777777777777778,9.0,False,0.2998620212648493,-0.04082549147448631,55.627389061126564,5,80.48413986397141,26.666666666666668,0.525,5,-0.09832952839264796,-1.0064870479097792,2,103.33211384188252,80,0.55,40.0,True,27.310451006608393,160,-0.09832952839264796,True
1,77.10493867509149,TrialState.COMPLETE,150,0.1,1480,158.7379938317387,0.20476434395345677,68,-0.012009433713104834,0.5882352941176471,,34.0,5,True,-4.397472021492107,-0.10986946461582703,22,0.2727272727272727,11.0,False,0.2632904319576881,-0.0436488120668477,89.16535727172811,5,77.10493867509149,28.833333333333332,0.5317919075144508,5,-0.11619894870393217,-0.9558369372951468,2,76.97429421502788,83,0.5542168674698795,41.5,True,44.10476016721648,173,-0.11619894870393217,True
2,76.27036870017072,TrialState.COMPLETE,120,1.0,1450,110.94165663063137,0.17261287709641282,60,-0.013423674714168717,0.5666666666666667,,30.0,5,True,-4.6277736617919265,-0.09517072825952155,16,0.25,8.0,False,0.3290115410986907,-0.04082626273226826,76.89044605948716,5,76.27036870017072,26.0,0.532051282051282,5,-0.09922507747147158,-0.7797916702787142,2,122.49722313167271,80,0.5625,40.0,True,38.055327194604224,156,-0.09922507747147158,True
3,64.5400535864586,TrialState.COMPLETE,210,1.0,1430,121.92964202490951,0.1855496427994916,67,-0.013538033048110246,0.5373134328358209,,33.5,5,True,-4.108815751540902,-0.12746121534099752,21,0.3333333333333333,10.5,False,0.2539921637161866,-0.04170975547026165,31.504632450230808,5,64.5400535864586,29.0,0.5172413793103449,5,-0.13810391624649762,-1.3291058597600236,2,75.79933448600717,86,0.5465116279069767,43.0,True,15.087763295235392,174,-0.13810391624649762,True
4,69.69416914006592,TrialState.COMPLETE,240,0.9,1440,105.75861273581225,0.16373916268721844,56,-0.013079503157800376,0.5714285714285714,,28.0,5,True,-4.624056516565726,-0.09525639467201774,17,0.29411764705882354,8.5,False,0.30742298035327376,-0.04087890698128579,57.65210459334457,5,69.69416914006592,25.5,0.5359477124183006,5,-0.09937288338396773,-1.49085385650362,2,107.94795120095124,80,0.5625,40.0,True,28.080625368420474,153,-0.09937288338396773,True
5,75.53507627403876,TrialState.COMPLETE,60,0.8,1470,103.39935326881809,0.19267404389812492,60,-0.016859123805523357,0.6,,30.0,5,True,-4.70282775033678,-0.08588221562456144,17,0.29411764705882354,8.5,False,0.3385707673132641,-0.04126596612245537,64.71464010106995,5,75.53507627403876,26.0,0.5641025641025641,5,-0.09019138281573638,-0.7610413401030336,2,127.90870330363495,79,0.5949367088607594,39.5,True,31.976799380483456,156,-0.09019138281573638,True
6,97.26530372406364,TrialState.COMPLETE,90,0.7000000000000001,1490,178.1601908343476,0.22595417333397427,58,-0.012413324730454948,0.6379310344827587,,29.0,5,True,-4.738903681527456,-0.08193219566398335,16,0.3125,8.0,False,0.32461518051382665,-0.04120080536137154,47.710399220670304,5,97.26530372406364,25.333333333333332,0.5789473684210527,5,-0.0862413628551583,-1.0247974443567678,2,118.37462401937077,78,0.5897435897435898,39.0,True,23.342800888156766,152,-0.0862413628551583,True
7,76.73517525030182,TrialState.COMPLETE,180,0.9,1440,126.88163106651996,0.18624068742553823,61,-0.013079503157800376,0.5901639344262295,,30.5,5,True,-4.624056516565726,-0.09525639467201774,17,0.29411764705882354,8.5,False,0.30742298035327376,-0.04087890698128579,62.099457801035285,5,76.73517525030182,26.333333333333332,0.5443037974683544,5,-0.09937288338396773,-1.3059984797657533,2,107.94795120095124,80,0.5625,40.0,True,30.396729660634765,158,-0.09937288338396773,True
8,63.23991335616154,TrialState.COMPLETE,180,0.5,1440,130.64365869460286,0.18880492841526353,66,-0.012956186410517776,0.5909090909090909,,33.0,5,True,-4.438713368967866,-0.12337128655489238,21,0.23809523809523808,10.5,False,0.27046623837789174,-0.055392188694809254,103.1206245682465,5,63.23991335616154,28.5,0.52046783625731,5,-0.12499797431480497,-1.5181193374098843,2,63.51479474284961,84,0.5357142857142857,42.0,True,50.801252615418306,171,-0.12499797431480497,True
9,70.73783936891657,TrialState.COMPLETE,240,0.4,1470,135.40781785083544,0.18497199868960967,57,-0.012135925454976043,0.6140350877192983,,28.5,5,True,-4.263970931046889,-0.06771577140947727,19,0.3157894736842105,9.5,False,0.27153287804275994,-0.04369297110485729,32.30225020163355,5,70.73783936891657,26.166666666666668,0.554140127388535,5,-0.08211107449459076,-1.782772370796169,2,81.06967118696112,81,0.5679012345679012,40.5,True,15.259738915418689,157,-0.08211107449459076,True
